Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
Gini index,SI.POV.GINI,Ecuador,ECU,45
Gini index,SI.POV.GINI,"Egypt, Arab Rep.",EGY,..
Gini index,SI.POV.GINI,El Salvador,SLV,41.6
Gini index,SI.POV.GINI,Equatorial Guinea,GNQ,..
Gini index,SI.POV.GINI,Eritrea,ERI,..
Gini index,SI.POV.GINI,Estonia,EST,34.6
Gini index,SI.POV.GINI,Eswatini,SWZ,..
Gini index,SI.POV.GINI,Ethiopia,ETH,..
Gini index,SI.POV.GINI,Faroe Islands,FRO,..
Gini index,SI.POV.GINI,Fiji,FJI,..
Gini index,SI.POV.GINI,Finland,FIN,26.8
Gini index,SI.POV.GINI,France,FRA,32.3
Gini index,SI.POV.GINI,French Polynesia,PYF,..
Gini index,SI.POV.GINI,Gabon,GAB,..
Gini index,SI.POV.GINI,"Gambia, The",GMB,..
Gini index,SI.POV.GINI,Georgia,GEO,37.6
Gini index,SI.POV.GINI,Germany,DEU,30.9
Gini index,SI.POV.GINI,Ghana,GHA,..
Gini index,SI.POV.GINI,Gibraltar,GIB,..
Gini index,SI.POV.GINI,Greece,GRC,35.8
Gini index,SI.POV.GINI,Greenland,GRL,..
Gini index,SI.POV.GINI,Grenada,GRD,..
Gini index,SI.POV.GINI,Guam,GUM,..
Gini index,SI.POV.GINI,Guatemala,GTM,48.3
Gini index,SI.POV.GINI,Guinea,GIN,..
Gini index,SI.POV.GINI,Guinea-Bissau,GNB,..
Gini index,SI.POV.GINI,Guyana,GUY,..
Gini index,SI.POV.GINI,Haiti,HTI,..
Gini index,SI.POV.GINI,Honduras,HND,49.9
Gini index,SI.POV.GINI,"Hong Kong SAR, China",HKG,..
Gini index,SI.POV.GINI,Hungary,HUN,30.9
Gini index,SI.POV.GINI,Iceland,ISL,27.8
Gini index,SI.POV.GINI,India,IND,..
Gini index,SI.POV.GINI,Indonesia,IDN,40.2
Gini index,SI.POV.GINI,"Iran, Islamic Rep.",IRN,34.8
Gini index,SI.POV.GINI,Iraq,IRQ,..
Gini index,SI.POV.GINI,Ireland,IRL,31.9
Gini index,SI.POV.GINI,Isle of Man,IMN,..
Gini index,SI.POV.GINI,Israel,ISR,39.8
Gini index,SI.POV.GINI,Italy,ITA,34.7
Gini index,SI.POV.GINI,Jamaica,JAM,..
Gini index,SI.POV.GINI,Japan,JPN,..
Gini index,SI.POV.GINI,Jordan,JOR,..
Gini index,SI.POV.GINI,Kazakhstan,KAZ,27
Gini index,SI.POV.GINI,Kenya,KEN,..
Gini index,SI.POV.GINI,Kiribati,KIR,..
Gini index,SI.POV.GINI,"Korea, Dem. People's Rep.",PRK,..
Gini index,SI.POV.GINI,"Korea, Rep.",KOR,31.2
Gini index,SI.POV.GINI,Kosovo,XKX,27.3
Gini index,SI.POV.GINI,Kuwait,KWT,..
Gini index,SI.POV.GINI,Kyrgyz Republic,KGZ,26.8
Gini index,SI.POV.GINI,Lao PDR,LAO,..
Gini index,SI.POV.GINI,Latvia,LVA,35.1
Gini index,SI.POV.GINI,Lebanon,LBN,..
Gini index,SI.POV.GINI,Lesotho,LSO,..
Gini index,SI.POV.GINI,Liberia,LBR,33.2
Gini index,SI.POV.GINI,Libya,LBY,..
Gini index,SI.POV.GINI,Liechtenstein,LIE,..
Gini index,SI.POV.GINI,Lithuania,LTU,37.7
Gini index,SI.POV.GINI,Luxembourg,LUX,31.2
Gini index,SI.POV.GINI,"Macao SAR, China",MAC,..
Gini index,SI.POV.GINI,Madagascar,MDG,..
Gini index,SI.POV.GINI,Malawi,MWI,..
Gini index,SI.POV.GINI,Malaysia,MYS,..
Gini index,SI.POV.GINI,Maldives,MDV,..
Gini index,SI.POV.GINI,Mali,MLI,..
Gini index,SI.POV.GINI,Malta,MLT,29
Gini index,SI.POV.GINI,Marshall Islands,MHL,..
Gini index,SI.POV.GINI,Mauritania,MRT,32.6
Gini index,SI.POV.GINI,Mauritius,MUS,..
Gini index,SI.POV.GINI,Mexico,MEX,48.9
Gini index,SI.POV.GINI,"Micronesia, Fed. Sts.",FSM,..
Gini index,SI.POV.GINI,Moldova,MDA,26.8
Gini index,SI.POV.GINI,Monaco,MCO,..
Gini index,SI.POV.GINI,Mongolia,MNG,32
Gini index,SI.POV.GINI,Montenegro,MNE,38.8
Gini index,SI.POV.GINI,Morocco,MAR,..
Gini index,SI.POV.GINI,Mozambique,MOZ,54
Gini index,SI.POV.GINI,Myanmar,MMR,..
Gini index,SI.POV.GINI,Namibia,NAM,..
Gini index,SI.POV.GINI,Nauru,NRU,..
Gini index,SI.POV.GINI,Nepal,NPL,..
Gini index,SI.POV.GINI,Netherlands,NLD,28.6
Gini index,SI.POV.GINI,New Caledonia,NCL,..
Gini index,SI.POV.GINI,New Zealand,NZL,..
Gini index,SI.POV.GINI,Nicaragua,NIC,46.2
Gini index,SI.POV.GINI,Niger,NER,34.3
Gini index,SI.POV.GINI,Nigeria,NGA,..
Gini index,SI.POV.GINI,North Macedonia,MKD,35.2
Gini index,SI.POV.GINI,Northern Mariana Islands,MNP,..
Gini index,SI.POV.GINI,Norway,NOR,26.8
Gini index,SI.POV.GINI,Oman,OMN,..
Gini index,SI.POV.GINI,Pakistan,PAK,..
Gini index,SI.POV.GINI,Palau,PLW,..
Gini index,SI.POV.GINI,Panama,PAN,50.5
Gini index,SI.POV.GINI,Papua New Guinea,PNG,..
Gini index,SI.POV.GINI,Paraguay,PRY,50.7
Gini index,SI.POV.GINI,Peru,PER,43.1
Gini index,SI.POV.GINI,Philippines,PHL,..
Gini index,SI.POV.GINI,Poland,POL,32.8
Gini index,SI.POV.GINI,Portugal,PRT,35.6
Gini index,SI.POV.GINI,Puerto Rico,PRI,..
Gini index,SI.POV.GINI,Qatar,QAT,..
Gini index,SI.POV.GINI,Romania,ROU,36
Gini index,SI.POV.GINI,Russian Federation,RUS,39.9
Gini index,SI.POV.GINI,Rwanda,RWA,..
Gini index,SI.POV.GINI,Samoa,WSM,..
Gini index,SI.POV.GINI,San Marino,SMR,..
Gini index,SI.POV.GINI,Sao Tome and Principe,STP,..
Gini index,SI.POV.GINI,Saudi Arabia,SAU,..
Gini index,SI.POV.GINI,Senegal,SEN,..
Gini index,SI.POV.GINI,Serbia,SRB,40.5
Gini index,SI.POV.GINI,Seychelles,SYC,..
Gini index,SI.POV.GINI,Sierra Leone,SLE,..
Gini index,SI.POV.GINI,Singapore,SGP,..
Gini index,SI.POV.GINI,Sint Maarten (Dutch part),SXM,..
Gini index,SI.POV.GINI,Slovak Republic,SVK,26.1
Gini index,SI.POV.GINI,Slovenia,SVN,25.7
Gini index,SI.POV.GINI,Solomon Islands,SLB,..
Gini index,SI.POV.GINI,Somalia,SOM,..
Gini index,SI.POV.GINI,South Africa,ZAF,63
Gini index,SI.POV.GINI,South Sudan,SSD,..
Gini index,SI.POV.GINI,Spain,ESP,36.1
Gini index,SI.POV.GINI,Sri Lanka,LKA,..
Gini index,SI.POV.GINI,St. Kitts and Nevis,KNA,..
Gini index,SI.POV.GINI,St. Lucia,LCA,..
Gini index,SI.POV.GINI,St. Martin (French part),MAF,..
Gini index,SI.POV.GINI,St. Vincent and the Grenadines,VCT,..
Gini index,SI.POV.GINI,Sudan,SDN,34.2
Gini index,SI.POV.GINI,Suriname,SUR,..
Gini index,SI.POV.GINI,Sweden,SWE,28.4
Gini index,SI.POV.GINI,Switzerland,CHE,32.5
Gini index,SI.POV.GINI,Syrian Arab Republic,SYR,..
Gini index,SI.POV.GINI,Tajikistan,TJK,..
Gini index,SI.POV.GINI,Tanzania,TZA,..
Gini index,SI.POV.GINI,Thailand,THA,37
Gini index,SI.POV.GINI,Timor-Leste,TLS,28.7
Gini index,SI.POV.GINI,Togo,TGO,..
Gini index,SI.POV.GINI,Tonga,TON,..
Gini index,SI.POV.GINI,Trinidad and Tobago,TTO,..
Gini index,SI.POV.GINI,Tunisia,TUN,..
Gini index,SI.POV.GINI,Turkiye,TUR,..
Gini index,SI.POV.GINI,Turkmenistan,TKM,..
Gini index,SI.POV.GINI,Turks and Caicos Islands,TCA,..
Gini index,SI.POV.GINI,Tuvalu,TUV,..
Gini index,SI.POV.GINI,Uganda,UGA,..
Gini index,SI.POV.GINI,Ukraine,UKR,24
Gini index,SI.POV.GINI,United Arab Emirates,ARE,..
Gini index,SI.POV.GINI,United Kingdom,GBR,33.1
Gini index,SI.POV.GINI,United States,USA,41.5
Gini index,SI.POV.GINI,Uruguay,URY,40.1
Gini index,SI.POV.GINI,Uzbekistan,UZB,..
Gini index,SI.POV.GINI,Vanuatu,VUT,..
Gini index,SI.POV.GINI,"Venezuela, RB",VEN,..
Gini index,SI.POV.GINI,Viet Nam,VNM,34.8
Gini index,SI.POV.GINI,Virgin Islands (U.S.),VIR,..
Gini index,SI.POV.GINI,West Bank and Gaza,PSE,..
Gini index,SI.POV.GINI,"Yemen, Rep.",YEM,36.7
Gini index,SI.POV.GINI,Zambia,ZMB,..
Gini index,SI.POV.GINI,Zimbabwe,ZWE,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,18860496592.515
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Albania,ALB,11139693788.8124
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Algeria,DZA,160057111729.904
GDP (constant 2015 US$),NY.GDP.MKTP.KD,American Samoa,ASM,652450381.679389
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Andorra,AND,2750437434.80254
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Angola,AGO,89650503966.1696
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,1417273748.87615
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,578937574935.696
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Armenia,ARM,10226102246.6276
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Aruba,ABW,2981500664.9605
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,1322646774172.19
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Austria,AUT,378134963330.691
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,52501877459.7444
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,11557758065.4237
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bahrain,BHR,30297627559.0615
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,183081877159.745
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Barbados,BRB,4621878809.94142
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belarus,BLR,58703016906.4629
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belgium,BEL,453086009677.5
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belize,BLZ,2126131097.5749
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Benin,BEN,11189200116.5963
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bermuda,BMU,6603330213.03728
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bhutan,BTN,1878802421.1653
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bolivia,BOL,31471565408.6312
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bosnia and Herzegovina,BIH,15725819000.0295
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Botswana,BWA,14220639811.9916
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,1868463501755.79
GDP (constant 2015 US$),NY.GDP.MKTP.KD,British Virgin Islands,VGB,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brunei Darussalam,BRN,12981227716.0016
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bulgaria,BGR,49142357612.8886
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burkina Faso,BFA,11385699970.03
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burundi,BDI,3229972475.40545
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cabo Verde,CPV,1733630380.4449
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cambodia,KHM,16874510037.718
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cameroon,CMR,30482787768.4783
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Canada,CAN,1546457292386.53
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cayman Islands,CYM,4578454033.81614
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Central African Republic,CAF,1625333052.55944
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chad,TCD,10655483043.6524
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Channel Islands,CHI,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chile,CHL,237342873662.242
GDP (constant 2015 US$),NY.GDP.MKTP.KD,China,CHN,10333926843387.4
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Colombia,COL,285066097531.468
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Comoros,COM,955071578.773227
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Congo, Dem. Rep.",COD,35464895084.4787
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Congo, Rep.",COG,12383414503.26
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Costa Rica,CRI,54453244251.2856
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cote d'Ivoire,CIV,42739891585.932
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Croatia,HRV,49606015318.9305
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cuba,CUB,83429902609.353
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Curacao,CUW,3044829273.42015
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cyprus,CYP,19193172056.6217
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Czechia,CZE,178419147314.396
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Denmark,DNK,295744975353.148
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Djibouti,DJI,2254700565.11536
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Dominica,DMA,555922065.276388
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Dominican Republic,DOM,66554578678.1207
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ecuador,ECU,99192306978.8112
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Egypt, Arab Rep.",EGY,315569804751.572
GDP (constant 2015 US$),NY.GDP.MKTP.KD,El Salvador,SLV,22888906230.2134
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Equatorial Guinea,GNQ,14507099626.9173
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Eritrea,ERI,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Estonia,EST,22474308645.6805
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Eswatini,SWZ,3974709779.06398
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ethiopia,ETH,58508820967.9287
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Faroe Islands,FRO,2549017907.36784
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Fiji,FJI,4480790593.10805
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Finland,FIN,233266209150.781
GDP (constant 2015 US$),NY.GDP.MKTP.KD,France,FRA,2412341398046.84
GDP (constant 2015 US$),NY.GDP.MKTP.KD,French Polynesia,PYF,5238617841.19666
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Gabon,GAB,13846034032.3711
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Gambia, The",GMB,1324430251.83027
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Georgia,GEO,14514384819.1726
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,3308229204839.04
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ghana,GHA,48379986725.6898
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Gibraltar,GIB,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Greece,GRC,196067992081.695
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Greenland,GRL,2563963821.89127
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Grenada,GRD,936638937.786048
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guam,GUM,5751510464.05824
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guatemala,GTM,59741346761.3617
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guinea,GIN,8470142323.87256
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guinea-Bissau,GNB,987646573.045992
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Guyana,GUY,4250621228.25175
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Haiti,HTI,14644604938.4606
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Honduras,HND,20203944075.628
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Hong Kong SAR, China",HKG,302170258934.603
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Hungary,HUN,120699456740.623
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Iceland,ISL,16773046835.507
GDP (constant 2015 US$),NY.GDP.MKTP.KD,India,IND,1947834564844.19
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Indonesia,IDN,820828013230.588
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Iran, Islamic Rep.",IRN,414113559617.869
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Iraq,IRQ,159252811238.142
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ireland,IRL,234877390513.928
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Isle of Man,IMN,7112234596.15074
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Israel,ISR,296054867115.476
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Italy,ITA,1822453476364.22
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Jamaica,JAM,14059381567.3828
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Japan,JPN,4376627829637.51
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Jordan,JOR,37647146046.4738
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kazakhstan,KAZ,182201980933.864
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kenya,KEN,66801914096.6185
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kiribati,KIR,155001179.632099
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Dem. People's Rep.",PRK,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,1425981639370.35
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kosovo,XKX,5944177087.19313
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kuwait,KWT,113910067912.717
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Kyrgyz Republic,KGZ,6429000667.71787
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lao PDR,LAO,13448655105.8005
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Latvia,LVA,26243463733.7578
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lebanon,LBN,49699566407.4833
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lesotho,LSO,2288201773.07605
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Liberia,LBR,3227674916.86578
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Libya,LBY,49131516065.3251
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Liechtenstein,LIE,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Lithuania,LTU,40613283322.7621
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Luxembourg,LUX,58738350255.7597
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Macao SAR, China",MAC,57396760498.8101
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Madagascar,MDG,10979121878.0735
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malawi,MWI,8968360291.05329
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malaysia,MYS,286755041078.03
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Maldives,MDV,3971758368.62202
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mali,MLI,12342980316.1789
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Malta,MLT,10119215994.2817
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Marshall Islands,MHL,179232486.96044
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mauritania,MRT,5852228252.89076
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mauritius,MUS,11579927241.3987
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mexico,MEX,1181370028505.37
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Micronesia, Fed. Sts.",FSM,302508316.50838
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Moldova,MDA,7825160358.24186
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Monaco,MCO,5971240222.22561
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mongolia,MNG,11349786311.9875
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Montenegro,MNE,3921767211.59682
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Morocco,MAR,105816536606.04
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mozambique,MOZ,15093136077.3533
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Myanmar,MMR,55786360663.8555
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Namibia,NAM,10871578021.6669
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nauru,NRU,89955247.0150117
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nepal,NPL,23429242187.1925
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Netherlands,NLD,750862107575.857
GDP (constant 2015 US$),NY.GDP.MKTP.KD,New Caledonia,NCL,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,New Zealand,NZL,171650855837.794
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nicaragua,NIC,12173257536.8553
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Niger,NER,9276388744.59484
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Nigeria,NGA,480286163931.15
GDP (constant 2015 US$),NY.GDP.MKTP.KD,North Macedonia,MKD,9690853712.45803
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Northern Mariana Islands,MNP,880218181.818182
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Norway,NOR,381081533533.12
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Oman,OMN,74950483987.1606
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Pakistan,PAK,287823367553.405
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Palau,PLW,260796115.930572
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Panama,PAN,51158836140.1517
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Papua New Guinea,PNG,20382597142.1943
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Paraguay,PRY,35171376859.1294
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Peru,PER,183824551906.256
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Philippines,PHL,288153024779.43
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Poland,POL,457076270062.343
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Portugal,PRT,195883739714.001
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Puerto Rico,PRI,104471873443.039
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Qatar,QAT,154400753941.045
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Romania,ROU,172434096708.371
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,1390921151162.46
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Rwanda,RWA,7849411759.46449
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Samoa,WSM,793594248.721633
GDP (constant 2015 US$),NY.GDP.MKTP.KD,San Marino,SMR,1387603394.86371
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sao Tome and Principe,STP,256057151.143233
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Saudi Arabia,SAU,639491311106.566
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Senegal,SEN,16710783797.4248
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Serbia,SRB,38952445480.7939
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Seychelles,SYC,1335412911.94414
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Sierra Leone,SLE,5347864162.48841
